RBP,Cell_line,eCLIP_exp,Control_exp,Experiment Fastq Files,Experiment Bam Files,Peak Files,Reproducible Peak Files,Input ID,Input Fastq Files,Input Bam Files
DGCR8,HepG2,ENCSR061SZV,ENCSR298SAD,"ENCFF420ZZD,ENCFF905UKZ,ENCFF542YWU,ENCFF347OGO","ENCFF559WUX,ENCFF703NQI","ENCFF674MHQ,ENCFF382SXP",ENCFF242WEP,DGCR8 eCLIP mock input,"ENCFF869IBS,ENCFF225SLP",ENCFF209NTM
GTF2F1,HepG2,ENCSR265ZIS,ENCSR451HMR,"ENCFF747FBU,ENCFF613QDB,ENCFF692APB,ENCFF321BPE","ENCFF587LRZ,ENCFF498YIO","ENCFF092IJR,ENCFF240QYG",ENCFF241SUC,GTF2F1 eCLIP mock input,"ENCFF595TEO,ENCFF251NBU",ENCFF435UZZ
LIN28B,HepG2,ENCSR861GYE,ENCSR746ZSV,"ENCFF916HAS,ENCFF794YIP,ENCFF459WIT,ENCFF917QVW","ENCFF763NGW,ENCFF925HAH","ENCFF976KYV,ENCFF381VVY",ENCFF451AQL,LIN28B eCLIP mock input,"ENCFF439RMU,ENCFF436NGE",ENCFF362UUB
TAF15,HepG2,ENCSR841EQA,ENCSR708TCY,"ENCFF456KCB,ENCFF185GGV,ENCFF192XSY,ENCFF718IXR","ENCFF981SIK,ENCFF730OHC","ENCFF603JTU,ENCFF063BTH",ENCFF513PTZ,TAF15 eCLIP mock input,"ENCFF832HQP,ENCFF612XKJ",ENCFF743PLU
SF3A3,HepG2,ENCSR331MIC,ENCSR859PUB,"ENCFF318QPN,ENCFF507QFP,ENCFF358LEO,ENCFF912UMI","ENCFF955MLC,ENCFF231UPL","ENCFF642VTG,ENCFF075FPZ",ENCFF710LWM,SF3A3 eCLIP mock input,"ENCFF337AFM,ENCFF370RMU",ENCFF514RHC
NONO,K562,ENCSR861PAR,ENCSR487EUV,"ENCFF724ERL,ENCFF109GPL,ENCFF008LDP,ENCFF896KWG","ENCFF171ATE,ENCFF224NTR","ENCFF174MVU,ENCFF201YQC",ENCFF363HHT,NONO eCLIP mock input,"ENCFF399ONM,ENCFF608XVX",ENCFF347ECS
PABPC4,K562,ENCSR958FKZ,ENCSR192TPA,"ENCFF662IWF,ENCFF484RUL,ENCFF440SQF,ENCFF478YTR","ENCFF047TLS,ENCFF953EUQ","ENCFF463ZSJ,ENCFF772SPP",ENCFF956PEQ,PABPC4 eCLIP mock input,"ENCFF611LDZ,ENCFF371WFK",ENCFF120HRN
PPIL4,K562,ENCSR197INS,ENCSR346IHS,"ENCFF234LRU,ENCFF045ANJ,ENCFF854FTL,ENCFF427FOO","ENCFF194KZE,ENCFF601IBB","ENCFF188XKC,ENCFF036ZXE",ENCFF546EKR,PPIL4 eCLIP mock input,"ENCFF221USS,ENCFF932XAN",ENCFF296UEW
WRN,K562,ENCSR038JME,ENCSR925ZRV,"ENCFF553UKA,ENCFF673VLP,ENCFF548GPO,ENCFF137XEJ","ENCFF480XQJ,ENCFF264AQP","ENCFF109LYL,ENCFF138IUK",ENCFF938JQE,WRN eCLIP mock input,"ENCFF467KQF,ENCFF137BBS",ENCFF922LFX
AKAP8L,K562,ENCSR206RXT,ENCSR550SGC,"ENCFF941NZR,ENCFF228RUA,ENCFF368HXQ,ENCFF443KRX","ENCFF977DLI,ENCFF127ULN","ENCFF781FPH,ENCFF189LGT",ENCFF923ZLX,AKAP8L eCLIP mock input,"ENCFF741GZP,ENCFF534UAZ",ENCFF057WTV
SFPQ,HepG2,ENCSR965DLL,ENCSR506EIW,"ENCFF822GVL,ENCFF315AQY,ENCFF617MDS,ENCFF981KZD","ENCFF849HII,ENCFF862AWU","ENCFF221WOF,ENCFF919FIY",ENCFF805LKH,SFPQ eCLIP mock input,"ENCFF526FTD,ENCFF163HDX",ENCFF839ZIO
KHSRP,K562,ENCSR438GZQ,ENCSR305IPT,"ENCFF014LLF,ENCFF538QCY,ENCFF973MWU,ENCFF901KIG","ENCFF665BIZ,ENCFF133EJA","ENCFF498QZQ,ENCFF531NDZ",ENCFF871BYW,KHSRP eCLIP mock input,"ENCFF927DLO,ENCFF517CRH",ENCFF644CKP
EWSR1,K562,ENCSR887LPK,ENCSR067UKU,"ENCFF797UGN,ENCFF921GQG,ENCFF529KND,ENCFF514NRD","ENCFF455LTY,ENCFF922VUQ","ENCFF535SBV,ENCFF621ZUN",ENCFF890NIT,EWSR1 eCLIP mock input,"ENCFF110AGV,ENCFF130YYP",ENCFF485UCP
PUM2,K562,ENCSR661ICQ,ENCSR439GXW,"ENCFF956TOZ,ENCFF041KJT,ENCFF133DNM,ENCFF462SCV","ENCFF280ONP,ENCFF177VQI","ENCFF091HXE,ENCFF262JRE",ENCFF767LWE,PUM2 eCLIP mock input,"ENCFF616FCF,ENCFF495ZPY",ENCFF043ERY
LSM11,K562,ENCSR022BVV,ENCSR952UOL,"ENCFF408YYK,ENCFF924IHY,ENCFF203JSP,ENCFF875THF","ENCFF608XEX,ENCFF636BMJ","ENCFF136HXF,ENCFF425PPQ",ENCFF538ZHY,LSM11 eCLIP mock input,"ENCFF122YZY,ENCFF308SPS",ENCFF816DYE
SMNDC1,K562,ENCSR658IQB,ENCSR631CJA,"ENCFF317RZD,ENCFF909OTT,ENCFF457GTR,ENCFF372GBO","ENCFF851QPV,ENCFF817JQS","ENCFF581FUT,ENCFF142PZD",ENCFF119DHE,SMNDC1 eCLIP mock input,"ENCFF981COP,ENCFF842VFC",ENCFF918AAS
TROVE2,K562,ENCSR539ZTS,ENCSR687GJH,"ENCFF108KYH,ENCFF815JMM,ENCFF053TCK,ENCFF145LAT","ENCFF581RBS,ENCFF568HWB","ENCFF243GNO,ENCFF043TCO",ENCFF514NWO,TROVE2 eCLIP mock input,"ENCFF228JKT,ENCFF015EIO",ENCFF536YVM
GPKOW,K562,ENCSR647CLF,ENCSR393STP,"ENCFF776RIX,ENCFF357GNY,ENCFF062JEH,ENCFF085PPS","ENCFF400PVK,ENCFF636IYL","ENCFF760JZI,ENCFF410KNT",ENCFF889CCS,GPKOW eCLIP mock input,"ENCFF821KVN,ENCFF216XJZ",ENCFF914HZF
NSUN2,K562,ENCSR081JYH,ENCSR595PFU,"ENCFF149VKG,ENCFF839INY,ENCFF877FZZ,ENCFF852NUQ","ENCFF384EMH,ENCFF479GVM","ENCFF257SMG,ENCFF270MTA",ENCFF036IYW,NSUN2 eCLIP mock input,"ENCFF489IRY,ENCFF645ZNG",ENCFF112GWP
FASTKD2,K562,ENCSR887FHF,ENCSR119AFY,"ENCFF225HCD,ENCFF724UQB,ENCFF111XRA,ENCFF567KSY","ENCFF223JNG,ENCFF158VSM","ENCFF885BWV,ENCFF943JBN",ENCFF357ABQ,FASTKD2 eCLIP mock input,"ENCFF507IXS,ENCFF197INO",ENCFF928RKY
LARP4,K562,ENCSR888YTT,ENCSR679NKE,"ENCFF109RNC,ENCFF984MPJ,ENCFF780ORI,ENCFF498JIR","ENCFF644NKM,ENCFF528CMP","ENCFF544HGJ,ENCFF305LNT",ENCFF284NOU,LARP4 eCLIP mock input,"ENCFF246ZNB,ENCFF586LZV",ENCFF776GPK
FTO,K562,ENCSR989SMC,ENCSR575DKE,"ENCFF836JKJ,ENCFF374PSI,ENCFF877URW,ENCFF185EIE","ENCFF552FOU,ENCFF589ZWA","ENCFF485IYX,ENCFF465VTS",ENCFF441YAZ,FTO eCLIP mock input,"ENCFF679NRW,ENCFF757EAS",ENCFF755GLY
UPF1,K562,ENCSR456ASB,ENCSR461LGW,"ENCFF170KCT,ENCFF425NCO,ENCFF493EKO,ENCFF466HWF","ENCFF119DJS,ENCFF174FBV","ENCFF873FZT,ENCFF792HYY",ENCFF814JGE,UPF1 eCLIP mock input,"ENCFF210JCS,ENCFF519MAY",ENCFF806EIK
QKI,K562,ENCSR366YOG,ENCSR615AAW,"ENCFF475LRP,ENCFF823SQL,ENCFF120WPV,ENCFF776ISN","ENCFF494AKD,ENCFF372LCI","ENCFF534JXG,ENCFF963AMI",ENCFF027CBV,QKI eCLIP mock input,"ENCFF620NEF,ENCFF647NVG",ENCFF849FKQ
MTPAP,K562,ENCSR200DKE,ENCSR927XDB,"ENCFF962AUM,ENCFF569EHE,ENCFF386BEJ,ENCFF169NFE","ENCFF169EUQ,ENCFF998TQA","ENCFF448TUI,ENCFF984DXU",ENCFF546ZFM,MTPAP eCLIP mock input,"ENCFF803XPM,ENCFF088TKT",ENCFF358UNB
UTP3,K562,ENCSR734ZHL,ENCSR241ALC,"ENCFF037SFC,ENCFF901ESA,ENCFF085FSS,ENCFF612CUM","ENCFF182NRE,ENCFF317ALA","ENCFF122OMX,ENCFF739KMN",ENCFF832JDM,UTP3 eCLIP mock input,"ENCFF352XFW,ENCFF850GVH",ENCFF204HIN
NCBP2,HepG2,ENCSR018RVZ,ENCSR257OYO,"ENCFF841ZMA,ENCFF444ZHJ,ENCFF731KNX,ENCFF838SXG","ENCFF071ZJE,ENCFF457IKB","ENCFF047YUZ,ENCFF500HBQ",ENCFF456PLF,NCBP2 eCLIP mock input,"ENCFF304ECY,ENCFF016MTU",ENCFF232YSX
QKI,HepG2,ENCSR570WLM,ENCSR130TOJ,"ENCFF444DES,ENCFF540VOG,ENCFF746GSO,ENCFF180SZL","ENCFF081ZJS,ENCFF179YDO","ENCFF525PZA,ENCFF459ANM",ENCFF445CGF,QKI eCLIP mock input,"ENCFF702IDH,ENCFF974DXZ",ENCFF365AGK
XRCC6,K562,ENCSR258QKO,ENCSR687HHB,"ENCFF041HAI,ENCFF701NLR,ENCFF290QYC,ENCFF830OQL","ENCFF727MET,ENCFF636DUC","ENCFF007DHU,ENCFF564IUM",ENCFF329VBT,XRCC6 eCLIP mock input,"ENCFF314GJB,ENCFF018HDR",ENCFF424DIC
DROSHA,K562,ENCSR653HQC,ENCSR828NSY,"ENCFF073ILV,ENCFF541YAM,ENCFF521GGC,ENCFF307CXZ","ENCFF637FTL,ENCFF434GPP","ENCFF840QVA,ENCFF602ZLI",ENCFF238REI,DROSHA eCLIP mock input,"ENCFF018AVT,ENCFF004HVL",ENCFF059NAB
DDX24,K562,ENCSR999WKT,ENCSR195IWB,"ENCFF692JAV,ENCFF795YLW,ENCFF661UCF,ENCFF091DPF","ENCFF240HDP,ENCFF280ZCF","ENCFF006KFT,ENCFF354NUG",ENCFF792WPY,DDX24 eCLIP mock input,"ENCFF113HCY,ENCFF739MOT",ENCFF327VQR
POLR2G,HepG2,ENCSR820WHR,ENCSR129SCO,"ENCFF865UYY,ENCFF497VHY,ENCFF086EHM,ENCFF219FAE","ENCFF783TNF,ENCFF429JCN","ENCFF635IBM,ENCFF749CYD",ENCFF014MZO,POLR2G eCLIP mock input,"ENCFF365RSB,ENCFF534IGJ",ENCFF054YWG
EXOSC5,K562,ENCSR013CTQ,ENCSR308RMD,"ENCFF357QDX,ENCFF609MDJ,ENCFF193VEK,ENCFF293TAU","ENCFF070QII,ENCFF710TEK","ENCFF781WWB,ENCFF918VFZ",ENCFF427AAU,EXOSC5 eCLIP mock input,"ENCFF156NIJ,ENCFF577TAB",ENCFF044BSI
DDX3X,HepG2,ENCSR648LAH,ENCSR090VXV,"ENCFF484KWX,ENCFF524KUN,ENCFF244ADV,ENCFF059FHR","ENCFF984UNN,ENCFF889OOU","ENCFF798XQM,ENCFF799ICU",ENCFF885OWJ,DDX3X eCLIP mock input,"ENCFF060CDK,ENCFF220JYP",ENCFF440HUP
ILF3,HepG2,ENCSR786TSC,ENCSR080OLK,"ENCFF568MYZ,ENCFF479BNC,ENCFF357DPL,ENCFF431PMM","ENCFF286FBL,ENCFF409NUO","ENCFF460MRE,ENCFF535COB",ENCFF485DDA,ILF3 eCLIP mock input,"ENCFF489GBW,ENCFF500NQE",ENCFF950TBS
RBM22,HepG2,ENCSR456JJQ,ENCSR775UPS,"ENCFF827TLD,ENCFF125EJB,ENCFF210HLS,ENCFF433TMO","ENCFF743SKO,ENCFF755XIB","ENCFF353XWS,ENCFF990UNN",ENCFF933AGU,RBM22 eCLIP mock input,"ENCFF273WXJ,ENCFF936IFL",ENCFF091VIF
PPIG,HepG2,ENCSR097NEE,ENCSR445LJH,"ENCFF647KKB,ENCFF477APU,ENCFF343FWV,ENCFF193XUL","ENCFF733DRI,ENCFF144GBK","ENCFF597JSM,ENCFF603DSB",ENCFF284MRX,PPIG eCLIP mock input,"ENCFF825NBG,ENCFF469MCT",ENCFF774GNF
BUD13,HepG2,ENCSR830BSQ,ENCSR777PDA,"ENCFF363NIE,ENCFF793PYD,ENCFF918HTG,ENCFF201ZNG","ENCFF592BEM,ENCFF094VWE","ENCFF364QPG,ENCFF929ITC",ENCFF080PGT,BUD13 eCLIP mock input,"ENCFF582HAW,ENCFF908SIL",ENCFF624JXG
RBM5,HepG2,ENCSR489ABS,ENCSR414RME,"ENCFF068IRI,ENCFF391YUD,ENCFF253SAE,ENCFF797BGS","ENCFF184RSE,ENCFF949ENR","ENCFF980CBO,ENCFF663GBN",ENCFF400CFS,RBM5 eCLIP mock input,"ENCFF783GFR,ENCFF021GAP",ENCFF613LRN
TROVE2,HepG2,ENCSR993FMY,ENCSR619LRH,"ENCFF857CKQ,ENCFF476NYI,ENCFF681SRL,ENCFF049UNM","ENCFF876ONV,ENCFF305FNR","ENCFF515SVK,ENCFF029CYV",ENCFF877QKG,TROVE2 eCLIP mock input,"ENCFF456RUG,ENCFF465JRJ",ENCFF194SFB
SF3B1,K562,ENCSR133QEA,ENCSR496UBM,"ENCFF351MRH,ENCFF585JKL,ENCFF763CZN,ENCFF151JUN","ENCFF177PRH,ENCFF766KGY","ENCFF498GFT,ENCFF210VRR",ENCFF322GPD,SF3B1 eCLIP mock input,"ENCFF185ZHX,ENCFF231PYQ",ENCFF865PNX
SF3B4,K562,ENCSR267OLV,ENCSR305KNE,"ENCFF036ZJT,ENCFF363ZXR,ENCFF063MAF,ENCFF900YPE","ENCFF379LAL,ENCFF477PBU","ENCFF013ZHF,ENCFF658CBT",ENCFF187VMX,SF3B4 eCLIP mock input,"ENCFF492WZW,ENCFF802HAI",ENCFF503WPM
BUD13,K562,ENCSR663WES,ENCSR736LKF,"ENCFF318ADU,ENCFF545BFR,ENCFF608MEF,ENCFF912DJK","ENCFF130YZF,ENCFF104FKE","ENCFF560OAU,ENCFF102QYZ",ENCFF651CNX,BUD13 eCLIP mock input,"ENCFF818MIM,ENCFF593CTK",ENCFF068QGD
METAP2,K562,ENCSR303OQD,ENCSR750NTM,"ENCFF136TZL,ENCFF305KBN,ENCFF255JDZ,ENCFF385LMB","ENCFF662GNC,ENCFF468ZMC","ENCFF727RJA,ENCFF041HMB",ENCFF565BTR,METAP2 eCLIP mock input,"ENCFF832UNJ,ENCFF591UZM",ENCFF942TNV
AATF,K562,ENCSR819XBT,ENCSR290JPJ,"ENCFF057BVQ,ENCFF268XIQ,ENCFF647ZMG,ENCFF990ZCZ","ENCFF783AKB,ENCFF906MGJ","ENCFF415HBM,ENCFF715LDJ",ENCFF514KIW,AATF eCLIP mock input,"ENCFF934QLS,ENCFF440KLK",ENCFF093NIR
RBM15,K562,ENCSR196INN,ENCSR454EER,"ENCFF688FME,ENCFF418DFE,ENCFF008EYG,ENCFF452DMI","ENCFF141MFP,ENCFF532QNF","ENCFF715SCF,ENCFF404OSK",ENCFF527BMM,RBM15 eCLIP mock input,"ENCFF933ORH,ENCFF584YFH",ENCFF413OBS
NOLC1,K562,ENCSR001VAC,ENCSR009CIV,"ENCFF498BYQ,ENCFF120UIK,ENCFF678KRL,ENCFF974GXQ","ENCFF362IRW,ENCFF624HKO","ENCFF754NXM,ENCFF942SMX",ENCFF151HRC,NOLC1 eCLIP mock input,"ENCFF813QRH,ENCFF900HNJ",ENCFF415WMT
WDR43,K562,ENCSR349CMI,ENCSR404ABA,"ENCFF083HOA,ENCFF899IIA,ENCFF522XKE,ENCFF188RTW","ENCFF380CNM,ENCFF748FDO","ENCFF509FAF,ENCFF425HAU",ENCFF358QSY,WDR43 eCLIP mock input,"ENCFF855XKN,ENCFF407AXQ",ENCFF701CEW
HLTF,K562,ENCSR589YHM,ENCSR502NKG,"ENCFF325PJW,ENCFF538MPL,ENCFF814HAY,ENCFF442CAN","ENCFF043RMT,ENCFF370ROE","ENCFF726GRF,ENCFF952TOI",ENCFF623DVN,HLTF eCLIP mock input,"ENCFF767CEO,ENCFF089OYZ",ENCFF615TJD
RPS3,K562,ENCSR120EAR,ENCSR494JFR,"ENCFF250XVF,ENCFF111EUR,ENCFF544ECV,ENCFF209JOZ","ENCFF528YKE,ENCFF094OTN","ENCFF323ZDL,ENCFF922WMS",ENCFF834BGX,RPS3 eCLIP mock input,"ENCFF672BYS,ENCFF744CGY",ENCFF700HKI
AGGF1,K562,ENCSR725ARB,ENCSR910LAN,"ENCFF290RMT,ENCFF505DQW,ENCFF914VHS,ENCFF243EOW","ENCFF259KQL,ENCFF606WSU","ENCFF450VBG,ENCFF683KLO",ENCFF169SMQ,AGGF1 eCLIP mock input,"ENCFF725ITK,ENCFF934XSG",ENCFF764ZUP
NOL12,HepG2,ENCSR820DQJ,ENCSR709ABG,"ENCFF241ABH,ENCFF483TJU,ENCFF765OCP,ENCFF906PLZ","ENCFF160ZHG,ENCFF821NNN","ENCFF716SCR,ENCFF515WRY",ENCFF047PZR,NOL12 eCLIP mock input,"ENCFF847HXV,ENCFF635VEP",ENCFF818JLM
RPS3,HepG2,ENCSR766FAC,ENCSR745BIL,"ENCFF850KGS,ENCFF574FKW,ENCFF048FYV,ENCFF368GUH","ENCFF634IHJ,ENCFF055PDH","ENCFF843WBE,ENCFF163XOB",ENCFF985DTC,RPS3 eCLIP mock input,"ENCFF457ZQN,ENCFF779VXI",ENCFF708TVU
AGGF1,HepG2,ENCSR543TPH,ENCSR182AEG,"ENCFF139PUX,ENCFF208VFO,ENCFF164QUS,ENCFF958HKG","ENCFF036HIA,ENCFF948TWD","ENCFF388PDG,ENCFF283MCJ",ENCFF617LAH,AGGF1 eCLIP mock input,"ENCFF794KAP,ENCFF782ZJI",ENCFF506IYH
DKC1,HepG2,ENCSR301TFY,ENCSR197LHH,"ENCFF850VGF,ENCFF462ZYJ,ENCFF565YYP,ENCFF494NKD","ENCFF111YEH,ENCFF568RRM","ENCFF074ATJ,ENCFF043XKO",ENCFF002FLD,DKC1 eCLIP mock input,"ENCFF793DFG,ENCFF734WRT",ENCFF973XJS
EIF3H,HepG2,ENCSR916XIV,ENCSR756NPZ,"ENCFF408PDH,ENCFF146VOH,ENCFF105SXR,ENCFF834HXI","ENCFF321VYR,ENCFF135UVS","ENCFF770FPA,ENCFF582LGR",ENCFF928OEC,EIF3H eCLIP mock input,"ENCFF183PTD,ENCFF901JEH",ENCFF984JIA
NKRF,HepG2,ENCSR277DEO,ENCSR479XOI,"ENCFF558SOA,ENCFF661HMQ,ENCFF430JKC,ENCFF660VTK","ENCFF825FWR,ENCFF470VYY","ENCFF233SNH,ENCFF864UGQ",ENCFF061DTB,NKRF eCLIP mock input,"ENCFF374APS,ENCFF837GYT",ENCFF085NXC
ZRANB2,K562,ENCSR663NRA,ENCSR528HOM,"ENCFF955OGW,ENCFF435TFT,ENCFF897MPT,ENCFF681RRF","ENCFF157TJP,ENCFF350ANF","ENCFF464HWD,ENCFF709ENB",ENCFF982GEG,ZRANB2 eCLIP mock input,"ENCFF215LAB,ENCFF554SKU",ENCFF562FIX
DDX55,K562,ENCSR923NKN,ENCSR180EJY,"ENCFF992HTJ,ENCFF782ZSQ,ENCFF667IWN,ENCFF438QZI","ENCFF826HOQ,ENCFF492LNE","ENCFF432FVJ,ENCFF099PFC",ENCFF727XDH,DDX55 eCLIP mock input,"ENCFF971JKG,ENCFF216XJE",ENCFF034NUD
YBX3,K562,ENCSR529FKI,ENCSR660VTT,"ENCFF655OVT,ENCFF631SCU,ENCFF047HLT,ENCFF841ECJ","ENCFF176ZDX,ENCFF916BBS","ENCFF526YVR,ENCFF231IID",ENCFF567MGK,YBX3 eCLIP mock input,"ENCFF035HRR,ENCFF131CGH",ENCFF405CXK
RBM15,HepG2,ENCSR754NDA,ENCSR317PWQ,"ENCFF060IFR,ENCFF923FKJ,ENCFF869TEZ,ENCFF172MCY","ENCFF499LMU,ENCFF415HAC","ENCFF017HYK,ENCFF971BBY",ENCFF982RHC,RBM15 eCLIP mock input,"ENCFF314IKA,ENCFF882PYI",ENCFF809OPL
NOLC1,HepG2,ENCSR194HZU,ENCSR278BZH,"ENCFF537BAJ,ENCFF656UJI,ENCFF161CIM,ENCFF091OGJ","ENCFF840HYK,ENCFF102DLV","ENCFF913QWS,ENCFF633BUL",ENCFF944ISN,NOLC1 eCLIP mock input,"ENCFF200IHY,ENCFF134DMB",ENCFF221KHG
CDC40,HepG2,ENCSR815VVI,ENCSR828ALT,"ENCFF359LZO,ENCFF376EVA,ENCFF570ACD,ENCFF886RPO","ENCFF171MEK,ENCFF282MQX","ENCFF890AXT,ENCFF513MLD",ENCFF204UQL,CDC40 eCLIP mock input,"ENCFF238HQO,ENCFF188PUE",ENCFF656NLF
LARP4,HepG2,ENCSR805SRN,ENCSR192PUP,"ENCFF365UUW,ENCFF362EMN,ENCFF276CTM,ENCFF163HLQ","ENCFF284OHP,ENCFF080EMQ","ENCFF288SGB,ENCFF130RAQ",ENCFF263BIJ,LARP4 eCLIP mock input,"ENCFF512AHQ,ENCFF649CHF",ENCFF234DAV
HNRNPL,K562,ENCSR795CAI,ENCSR299AAB,"ENCFF868IOA,ENCFF490VFL,ENCFF669YDE,ENCFF549QWD","ENCFF330GSE,ENCFF431VLG","ENCFF796KSB,ENCFF782DAY",ENCFF296JHG,HNRNPL eCLIP mock input,"ENCFF796BVT,ENCFF862OAB",ENCFF639SDC
NIPBL,K562,ENCSR891RIC,ENCSR816NVJ,"ENCFF742IAV,ENCFF658FIC,ENCFF022RTU,ENCFF325XUV","ENCFF861ARK,ENCFF472YSO","ENCFF484RAM,ENCFF525NXB",ENCFF092XHF,NIPBL eCLIP mock input,"ENCFF283GNU,ENCFF835HJQ",ENCFF411ZIS
NCBP2,K562,ENCSR484LTQ,ENCSR921SHJ,"ENCFF053VCT,ENCFF205RFL,ENCFF098RUK,ENCFF608TLJ","ENCFF891QNV,ENCFF771UZR","ENCFF014NHI,ENCFF509XPD",ENCFF481RZR,NCBP2 eCLIP mock input,"ENCFF184DBI,ENCFF093FNE",ENCFF074LHS
ZNF622,K562,ENCSR657TZZ,ENCSR594RFP,"ENCFF529AAI,ENCFF890BOX,ENCFF241RKD,ENCFF005MIK","ENCFF216ACB,ENCFF388PIX","ENCFF177JVW,ENCFF567UXH",ENCFF037BNT,ZNF622 eCLIP mock input,"ENCFF626LUV,ENCFF795SBP",ENCFF790DUN
FUBP3,HepG2,ENCSR486YGP,ENCSR056RZV,"ENCFF231PRV,ENCFF442NVV,ENCFF126AZS,ENCFF938RNB","ENCFF709YPU,ENCFF565TFN","ENCFF410ITK,ENCFF714TFP",ENCFF598NYT,FUBP3 eCLIP mock input,"ENCFF414YHF,ENCFF024OZW",ENCFF370QJE
CSTF2,HepG2,ENCSR384MWO,ENCSR309GHK,"ENCFF597QAD,ENCFF366XCA,ENCFF180MDZ,ENCFF408GJH","ENCFF175HHG,ENCFF103BFG","ENCFF892JUQ,ENCFF370ZBJ",ENCFF222ULF,CSTF2 eCLIP mock input,"ENCFF900NQN,ENCFF413QVJ",ENCFF836AYV
DROSHA,HepG2,ENCSR834YLD,ENCSR785VKF,"ENCFF744PVS,ENCFF484RCY,ENCFF673CDP,ENCFF110FOW","ENCFF773TOS,ENCFF190HNU","ENCFF548JFY,ENCFF146RNO",ENCFF624RZR,DROSHA eCLIP mock input,"ENCFF687BMD,ENCFF064NLH",ENCFF960QIE
DDX6,K562,ENCSR893EFU,ENCSR207DWI,"ENCFF024VZT,ENCFF259KOV,ENCFF915SRQ,ENCFF163DCH","ENCFF457JWB,ENCFF766EMG","ENCFF906PBB,ENCFF626UUD",ENCFF846JEW,DDX6 eCLIP mock input,"ENCFF301TAX,ENCFF510SNL",ENCFF982ORK
EFTUD2,K562,ENCSR844RVX,ENCSR266UVO,"ENCFF073SAE,ENCFF701RMR,ENCFF273YUG,ENCFF688KVW","ENCFF737JZP,ENCFF652IOV","ENCFF689YIJ,ENCFF691BHS",ENCFF190WAS,EFTUD2 eCLIP mock input,"ENCFF283JNS,ENCFF480DFF",ENCFF786JER
TBRG4,K562,ENCSR506OTC,ENCSR512EZA,"ENCFF894RPF,ENCFF399OEH,ENCFF582GSU,ENCFF345TKW","ENCFF910QNU,ENCFF307XYP","ENCFF033ZLA,ENCFF040CEA",ENCFF509AKB,TBRG4 eCLIP mock input,"ENCFF986GFV,ENCFF491PHA",ENCFF365ZFZ
DDX51,K562,ENCSR145NLR,ENCSR268SKI,"ENCFF447BHR,ENCFF402STK,ENCFF258EAW,ENCFF143MWR","ENCFF536UEG,ENCFF924PFV","ENCFF475ZZT,ENCFF042FAB",ENCFF146YPF,DDX51 eCLIP mock input,"ENCFF057EYS,ENCFF839MJH",ENCFF509GAY
