Protein_id	Gene_name	Gene_description
UniProtKB:Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK
UniProtKB:Q09666	AHNAK	Neuroblast differentiation-associated protein AHNAK
UniProtKB:Q14296	FASTK	Fas-activated serine/threonine kinase
UniProtKB:Q14296	FASTK	Fas-activated serine/threonine kinase
UniProtKB:Q12872	SFSWAP	Splicing factor, suppressor of white-apricot homolog
UniProtKB:Q12849	GRSF1	G-rich sequence factor 1
UniProtKB:Q9HAZ1	CLK4	Dual specificity protein kinase CLK4
UniProtKB:Q07666	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1
UniProtKB:Q07666	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1
UniProtKB:P61978	HNRNPK	Heterogeneous nuclear ribonucleoprotein K
UniProtKB:P61978	HNRNPK	Heterogeneous nuclear ribonucleoprotein K
UniProtKB:Q7Z333	SETX	Probable helicase senataxin
UniProtKB:Q92841	DDX17	Probable ATP-dependent RNA helicase DDX17
UniProtKB:Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial
UniProtKB:Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial
UniProtKB:Q13573	SNW1	SNW domain-containing protein 1
UniProtKB:Q9NTZ6	RBM12	RNA-binding protein 12
UniProtKB:Q9NR56	MBNL1	Muscleblind-like protein 1
UniProtKB:Q9NR56	MBNL1	Muscleblind-like protein 1
UniProtKB:Q9NR56	MBNL1	Muscleblind-like protein 1
UniProtKB:P57052	RBM11	Splicing regulator RBM11
UniProtKB:P57052	RBM11	Splicing regulator RBM11
UniProtKB:Q9BRL6	SRSF8	Serine/arginine-rich splicing factor 8
UniProtKB:Q9NUK0	MBNL3	Muscleblind-like protein 3
UniProtKB:Q9NUK0	MBNL3	Muscleblind-like protein 3
UniProtKB:Q09161	NCBP1	Nuclear cap-binding protein subunit 1
UniProtKB:Q07955	SRSF1	Serine/arginine-rich splicing factor 1
UniProtKB:P52597	HNRNPF	Heterogeneous nuclear ribonucleoprotein F
UniProtKB:P52597	HNRNPF	Heterogeneous nuclear ribonucleoprotein F
UniProtKB:P52597	HNRNPF	Heterogeneous nuclear ribonucleoprotein F
UniProtKB:Q2TAY7	SMU1	WD40 repeat-containing protein SMU1
UniProtKB:A6NDE4	RBMY1B	RNA-binding motif protein, Y chromosome, family 1 member B
UniProtKB:P18583	SON	Protein SON
UniProtKB:P18583	SON	Protein SON
UniProtKB:P18583	SON	Protein SON
UniProtKB:A2RU54	HMX2	Homeobox protein HMX2
UniProtKB:Q96T37	RBM15	RNA-binding protein 15
UniProtKB:Q4G0J3	LARP7	La-related protein 7
UniProtKB:Q9NYV4	CDK12	Cyclin-dependent kinase 12
UniProtKB:Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U
UniProtKB:Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q9BWF3	RBM4	RNA-binding protein 4
UniProtKB:Q8N6W0	CELF5	CUGBP Elav-like family member 5
UniProtKB:Q8N6W0	CELF5	CUGBP Elav-like family member 5
UniProtKB:Q92879	CELF1	CUGBP Elav-like family member 1
UniProtKB:Q92879	CELF1	CUGBP Elav-like family member 1
UniProtKB:Q9UNW9	NOVA2	RNA-binding protein Nova-2
UniProtKB:Q5JVS0	HABP4	Intracellular hyaluronan-binding protein 4
UniProtKB:Q5JVS0	HABP4	Intracellular hyaluronan-binding protein 4
UniProtKB:Q8WVV9	HNRNPLL	Heterogeneous nuclear ribonucleoprotein L-like
UniProtKB:Q8WVV9	HNRNPLL	Heterogeneous nuclear ribonucleoprotein L-like
UniProtKB:Q8WVV9	HNRNPLL	Heterogeneous nuclear ribonucleoprotein L-like
UniProtKB:Q15637	SF1	Splicing factor 1
UniProtKB:P31483	TIA1	Nucleolysin TIA-1 isoform p40
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:P38159	RBMX	RNA-binding motif protein, X chromosome
UniProtKB:Q8WUF8	FAM172A	Cotranscriptional regulator FAM172A
UniProtKB:Q8WXA9	SREK1	Splicing regulatory glutamine/lysine-rich protein 1
UniProtKB:Q15427	SF3B4	Splicing factor 3B subunit 4
UniProtKB:Q15415	RBMY1F	RNA-binding motif protein, Y chromosome, family 1 member F/J
UniProtKB:P51816	AFF2	AF4/FMR2 family member 2
UniProtKB:P51816	AFF2	AF4/FMR2 family member 2
UniProtKB:P15172	MYOD1	Myoblast determination protein 1
UniProtKB:P15172	MYOD1	Myoblast determination protein 1
UniProtKB:P35637	FUS	RNA-binding protein FUS
UniProtKB:P35637	FUS	RNA-binding protein FUS
UniProtKB:P30041	PRDX6	Peroxiredoxin-6
UniProtKB:Q8WXF0	SRSF12	Serine/arginine-rich splicing factor 12
UniProtKB:Q8WXF0	SRSF12	Serine/arginine-rich splicing factor 12
UniProtKB:Q8WXF0	SRSF12	Serine/arginine-rich splicing factor 12
UniProtKB:P55061	TMBIM6	Bax inhibitor 1
UniProtKB:Q8N3J2	METTL4	N(6)-adenine-specific methyltransferase METTL4
UniProtKB:P55795	HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2
UniProtKB:P31943	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H
UniProtKB:P31943	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H
UniProtKB:P31942	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3
UniProtKB:Q9H6T0	ESRP2	Epithelial splicing regulatory protein 2
UniProtKB:Q9H6T0	ESRP2	Epithelial splicing regulatory protein 2
UniProtKB:Q06787	FMR1	Synaptic functional regulator FMR1
UniProtKB:Q06787	FMR1	Synaptic functional regulator FMR1
UniProtKB:Q6ZMH5	SLC39A5	Zinc transporter ZIP5
UniProtKB:P17844	DDX5	Probable ATP-dependent RNA helicase DDX5
UniProtKB:P17844	DDX5	Probable ATP-dependent RNA helicase DDX5
UniProtKB:P0DMV8	HSPA1A	Heat shock 70 kDa protein 1A
UniProtKB:Q96K80	ZC3H10	Zinc finger CCCH domain-containing protein 10
UniProtKB:Q13127	REST	RE1-silencing transcription factor
UniProtKB:Q13123	IK	Protein Red
UniProtKB:P19338	NCL	Nucleolin
UniProtKB:P98179	RBM3	RNA-binding protein 3
UniProtKB:P98175	RBM10	RNA-binding protein 10
UniProtKB:P98175	RBM10	RNA-binding protein 10
UniProtKB:Q08170	SRSF4	Serine/arginine-rich splicing factor 4
UniProtKB:Q08170	SRSF4	Serine/arginine-rich splicing factor 4
UniProtKB:Q9NWB1	RBFOX1	RNA binding protein fox-1 homolog 1
UniProtKB:O60828	PQBP1	Polyglutamine-binding protein 1
UniProtKB:O60828	PQBP1	Polyglutamine-binding protein 1
UniProtKB:Q5T481	RBM20	RNA-binding protein 20
UniProtKB:Q5T481	RBM20	RNA-binding protein 20
UniProtKB:Q5T481	RBM20	RNA-binding protein 20
UniProtKB:Q9BTD8	RBM42	RNA-binding protein 42
UniProtKB:Q9BTD8	RBM42	RNA-binding protein 42
UniProtKB:Q9NW64	RBM22	Pre-mRNA-splicing factor RBM22
UniProtKB:Q9UMS4	PRPF19	Pre-mRNA-processing factor 19
UniProtKB:Q01130	SRSF2	Serine/arginine-rich splicing factor 2
UniProtKB:P22626	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1
UniProtKB:M0R076	M0R076	Uncharacterized protein (Fragment)
UniProtKB:M0R076	M0R076	Uncharacterized protein (Fragment)
UniProtKB:P09651	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1
UniProtKB:Q96QD8	SLC38A2	Sodium-coupled neutral amino acid transporter 2
UniProtKB:Q96PU8	QKI	Protein quaking
UniProtKB:Q13247	SRSF6	Serine/arginine-rich splicing factor 6
UniProtKB:Q13247	SRSF6	Serine/arginine-rich splicing factor 6
UniProtKB:Q13247	SRSF6	Serine/arginine-rich splicing factor 6
UniProtKB:Q13247	SRSF6	Serine/arginine-rich splicing factor 6
UniProtKB:Q13243	SRSF5	Serine/arginine-rich splicing factor 5
UniProtKB:Q13243	SRSF5	Serine/arginine-rich splicing factor 5
UniProtKB:Q13242	SRSF9	Serine/arginine-rich splicing factor 9
UniProtKB:Q13242	SRSF9	Serine/arginine-rich splicing factor 9
UniProtKB:Q96SB4	SRPK1	SRSF protein kinase 1
UniProtKB:Q5BKZ1	ZNF326	DBIRD complex subunit ZNF326
UniProtKB:Q6NXG1	ESRP1	Epithelial splicing regulatory protein 1
UniProtKB:Q6NXG1	ESRP1	Epithelial splicing regulatory protein 1
UniProtKB:Q8IWL8	STH	Saitohin
UniProtKB:Q9HCG8	CWC22	Pre-mRNA-splicing factor CWC22 homolog
UniProtKB:P51513	NOVA1	RNA-binding protein Nova-1
UniProtKB:P26368	U2AF2	Splicing factor U2AF 65 kDa subunit
UniProtKB:P26368	U2AF2	Splicing factor U2AF 65 kDa subunit
UniProtKB:Q15020	SART3	Squamous cell carcinoma antigen recognized by T-cells 3
UniProtKB:Q15007	WTAP	Pre-mRNA-splicing regulator WTAP
UniProtKB:Q15007	WTAP	Pre-mRNA-splicing regulator WTAP
UniProtKB:Q9BX46	RBM24	RNA-binding protein 24
UniProtKB:Q9BX46	RBM24	RNA-binding protein 24
UniProtKB:Q9BX46	RBM24	RNA-binding protein 24
UniProtKB:Q9BX46	RBM24	RNA-binding protein 24
UniProtKB:Q9NZ63	C9orf78	Telomere length and silencing protein 1 homolog
UniProtKB:Q58F21	BRDT	Bromodomain testis-specific protein
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:Q9BZC1	CELF4	CUGBP Elav-like family member 4
UniProtKB:P24928	POLR2A	DNA-directed RNA polymerase II subunit RPB1
UniProtKB:Q13627	DYRK1A	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
UniProtKB:Q13627	DYRK1A	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
UniProtKB:Q13627	DYRK1A	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
UniProtKB:P08621	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa
UniProtKB:P08621	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa
UniProtKB:O00422	SAP18	Histone deacetylase complex subunit SAP18
UniProtKB:O00422	SAP18	Histone deacetylase complex subunit SAP18
UniProtKB:O00422	SAP18	Histone deacetylase complex subunit SAP18
UniProtKB:P26599	PTBP1	Polypyrimidine tract-binding protein 1
UniProtKB:P26599	PTBP1	Polypyrimidine tract-binding protein 1
UniProtKB:P26599	PTBP1	Polypyrimidine tract-binding protein 1
UniProtKB:P26599	PTBP1	Polypyrimidine tract-binding protein 1
UniProtKB:P26599	PTBP1	Polypyrimidine tract-binding protein 1
UniProtKB:P26599	PTBP1	Polypyrimidine tract-binding protein 1
UniProtKB:Q15287	RNPS1	RNA-binding protein with serine-rich domain 1
UniProtKB:Q15287	RNPS1	RNA-binding protein with serine-rich domain 1
UniProtKB:Q15287	RNPS1	RNA-binding protein with serine-rich domain 1
UniProtKB:Q5SZQ8	CELF3	CUGBP Elav-like family member 3
UniProtKB:Q5SZQ8	CELF3	CUGBP Elav-like family member 3
UniProtKB:Q5SZQ8	CELF3	CUGBP Elav-like family member 3
UniProtKB:Q86W50	METTL16	RNA N6-adenosine-methyltransferase METTL16
UniProtKB:Q8IVF2	AHNAK2	Protein AHNAK2
UniProtKB:P14866	HNRNPL	Heterogeneous nuclear ribonucleoprotein L
UniProtKB:P14866	HNRNPL	Heterogeneous nuclear ribonucleoprotein L
UniProtKB:P14866	HNRNPL	Heterogeneous nuclear ribonucleoprotein L
UniProtKB:Q86U06	RBM23	Probable RNA-binding protein 23
UniProtKB:Q13595	TRA2A	Transformer-2 protein homolog alpha
UniProtKB:P78362	SRPK2	SRSF protein kinase 2
UniProtKB:Q8IXT5	RBM12B	RNA-binding protein 12B
UniProtKB:Q6NYC1	JMJD6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6
UniProtKB:P51116	FXR2	Fragile X mental retardation syndrome-related protein 2
UniProtKB:P51114	FXR1	Fragile X mental retardation syndrome-related protein 1
UniProtKB:I3L521	I3L521	Uncharacterized protein (Fragment)
UniProtKB:Q9BXM0	PRX	Periaxin
UniProtKB:P61326	MAGOH	Protein mago nashi homolog
UniProtKB:Q9H0G5	NSRP1	Nuclear speckle splicing regulatory protein 1
UniProtKB:O75525	KHDRBS3	KH domain-containing, RNA-binding, signal transduction-associated protein 3
UniProtKB:P84103	SRSF3	Serine/arginine-rich splicing factor 3
UniProtKB:P84103	SRSF3	Serine/arginine-rich splicing factor 3
UniProtKB:Q9BQ04	RBM4B	RNA-binding protein 4B
UniProtKB:Q96MU7	YTHDC1	YTH domain-containing protein 1
UniProtKB:Q96MU7	YTHDC1	YTH domain-containing protein 1
UniProtKB:Q96MU7	YTHDC1	YTH domain-containing protein 1
UniProtKB:Q96MU7	YTHDC1	YTH domain-containing protein 1
UniProtKB:Q16629	SRSF7	Serine/arginine-rich splicing factor 7
UniProtKB:Q16629	SRSF7	Serine/arginine-rich splicing factor 7
UniProtKB:P11142	HSPA8	Heat shock cognate 71 kDa protein
UniProtKB:Q02040	AKAP17A	A-kinase anchor protein 17A
UniProtKB:Q02040	AKAP17A	A-kinase anchor protein 17A
UniProtKB:P62277	RPS13	40S ribosomal protein S13
RNAcentral:URS000020BE6A_9606	URS000020BE6A_9606	Homo sapiens (human) hsa-miR-124-3p
ComplexPortal:CPX-343	ccnl2-cdk11a_human	Cyclin L2-CDK11A(p110) complex
ComplexPortal:CPX-341	ccnl1-cdk11a_human	Cyclin L1-CDK11A(p110) complex
UniProtKB:A6NFN3	RBFOX3	RNA binding protein fox-1 homolog 3
UniProtKB:P0DJD4	RBMY1C	RNA-binding motif protein, Y chromosome, family 1 member C
UniProtKB:P0DJD3	RBMY1A1	RNA-binding motif protein, Y chromosome, family 1 member A1
UniProtKB:P0DJD3	RBMY1A1	RNA-binding motif protein, Y chromosome, family 1 member A1
UniProtKB:Q14011	CIRBP	Cold-inducible RNA-binding protein
UniProtKB:P27986	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha
UniProtKB:P62854	RPS26	40S ribosomal protein S26
UniProtKB:Q9Y5S9	RBM8A	RNA-binding protein 8A
UniProtKB:Q9Y5S9	RBM8A	RNA-binding protein 8A
UniProtKB:Q96E39	RBMXL1	RNA binding motif protein, X-linked-like-1
UniProtKB:O95758	PTBP3	Polypyrimidine tract-binding protein 3
UniProtKB:O95758	PTBP3	Polypyrimidine tract-binding protein 3
UniProtKB:O95758	PTBP3	Polypyrimidine tract-binding protein 3
UniProtKB:Q5VWX1	KHDRBS2	KH domain-containing, RNA-binding, signal transduction-associated protein 2
UniProtKB:Q96I25	RBM17	Splicing factor 45
UniProtKB:Q8NDT2	RBM15B	Putative RNA-binding protein 15B
UniProtKB:Q8NDT2	RBM15B	Putative RNA-binding protein 15B
UniProtKB:Q9UHX1	PUF60	Poly(U)-binding-splicing factor PUF60
UniProtKB:O75494	SRSF10	Serine/arginine-rich splicing factor 10
UniProtKB:O75494	SRSF10	Serine/arginine-rich splicing factor 10
UniProtKB:O75494	SRSF10	Serine/arginine-rich splicing factor 10
UniProtKB:O75460	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1
UniProtKB:O75460	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1
UniProtKB:Q9UKA9	PTBP2	Polypyrimidine tract-binding protein 2
UniProtKB:Q9UKA9	PTBP2	Polypyrimidine tract-binding protein 2
UniProtKB:Q9UKA9	PTBP2	Polypyrimidine tract-binding protein 2
UniProtKB:O95365	ZBTB7A	Zinc finger and BTB domain-containing protein 7A
UniProtKB:P57723	PCBP4	Poly(rC)-binding protein 4
UniProtKB:O95319	CELF2	CUGBP Elav-like family member 2
UniProtKB:Q96J87	CELF6	CUGBP Elav-like family member 6
UniProtKB:Q96J87	CELF6	CUGBP Elav-like family member 6
UniProtKB:Q14498	RBM39	RNA-binding protein 39
UniProtKB:Q14498	RBM39	RNA-binding protein 39
UniProtKB:Q14498	RBM39	RNA-binding protein 39
UniProtKB:Q9Y580	RBM7	RNA-binding protein 7
UniProtKB:Q96EP5	DAZAP1	DAZ-associated protein 1
UniProtKB:P52756	RBM5	RNA-binding protein 5
UniProtKB:P52756	RBM5	RNA-binding protein 5
UniProtKB:P62995	TRA2B	Transformer-2 protein homolog beta
UniProtKB:P62995	TRA2B	Transformer-2 protein homolog beta
UniProtKB:P62995	TRA2B	Transformer-2 protein homolog beta
UniProtKB:P62995	TRA2B	Transformer-2 protein homolog beta
UniProtKB:P62995	TRA2B	Transformer-2 protein homolog beta
UniProtKB:P62995	TRA2B	Transformer-2 protein homolog beta
UniProtKB:P52948	NUP98	Nuclear pore complex protein Nup98-Nup96
UniProtKB:Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3
UniProtKB:Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3
UniProtKB:Q9H0Z9	RBM38	RNA-binding protein 38
UniProtKB:Q14684	RRP1B	Ribosomal RNA processing protein 1 homolog B
UniProtKB:A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4
UniProtKB:A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4
UniProtKB:A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4
UniProtKB:A7MD48	SRRM4	Serine/arginine repetitive matrix protein 4
UniProtKB:O75312	ZPR1	Zinc finger protein ZPR1
UniProtKB:Q9Y4C8	RBM19	Probable RNA-binding protein 19
UniProtKB:O43251	RBFOX2	RNA binding protein fox-1 homolog 2
UniProtKB:O43251	RBFOX2	RNA binding protein fox-1 homolog 2
UniProtKB:Q5VZF2	MBNL2	Muscleblind-like protein 2
UniProtKB:Q5VZF2	MBNL2	Muscleblind-like protein 2
UniProtKB:Q5VZF2	MBNL2	Muscleblind-like protein 2
UniProtKB:P49761	CLK3	Dual specificity protein kinase CLK3
UniProtKB:P49760	CLK2	Dual specificity protein kinase CLK2
UniProtKB:P49759	CLK1	Dual specificity protein kinase CLK1
UniProtKB:P49756	RBM25	RNA-binding protein 25
UniProtKB:P49756	RBM25	RNA-binding protein 25
