reg_id	n	p_dummy	p_trad_genes	p_select_genes
HNRNPM_HepG2_355	8835	566	234	2054
PTBP1_HepG2_56997	9486	565	266	2054
QKI_HepG2_43116	11262	561	842	2054
RBM15_K562_19280	19906	594	238	2054
PTBP1_HepG2_46901	5917	484	121	2054
SRSF1_K562_17963	19690	594	813	2054
QKI_HepG2_23548	20014	594	370	2054
SRSF9_HepG2_9956	19946	594	759	2054
HNRNPK_HepG2_34842	1796	358	28	2054
SRSF1_K562_1990	19926	594	669	2054
SRSF9_HepG2_27423	19741	594	982	2054
KHSRP_K562_26714	16266	590	640	2054
UCHL5_K562_41797	19900	594	428	2054
SRSF1_HepG2_24886	18379	594	375	2054
SRSF1_HepG2_20446	18412	589	739	2054
SRSF1_HepG2_8886	10797	559	158	2054
SRSF1_HepG2_45413	19464	593	532	2054
PTBP1_HepG2_30673	16581	583	922	2054
SRSF9_HepG2_4251	2310	326	118	2054
HNRNPK_HepG2_19101	19805	592	676	2054
FXR1_K562_55108	19518	594	657	2054
HNRNPU_K562_51120	19711	594	293	2054
HNRNPU_K562_2282	20018	594	703	2054
RBM15_K562_61046	12204	582	143	2054
RBM15_HepG2_14099	18036	589	244	2054
HNRNPU_K562_24311	18553	590	249	2054
AKAP8L_K562_69073	7795	553	90	2054
PTBP1_HepG2_62959	19488	594	1001	2054
SRSF1_HepG2_29681	7213	462	7	2054
SRSF1_K562_61141	19811	593	230	2054
AKAP8L_K562_66618	18771	594	375	2054
KHSRP_K562_57657	8874	578	261	2054
SRSF1_HepG2_18740	19566	594	571	2054
AKAP8L_K562_65543	19727	594	595	2054
PTBP1_HepG2_50951	19193	594	642	2054
SRSF1_HepG2_4858	19836	594	274	2054
SRSF1_K562_50017	19428	594	897	2054
RBFOX2_HepG2_22448	19804	594	1110	2054
SRSF1_K562_22032	20012	593	564	2054
RBM15_K562_75843	6571	540	144	2054
RBFOX2_HepG2_27006	19514	593	692	2054
RBM15_K562_4596	19097	592	426	2054
RBFOX2_HepG2_35572	18961	594	802	2054
SRSF1_K562_52039	16343	591	260	2054
SRSF1_K562_64223	18471	594	114	2054
SRSF1_HepG2_41913	19723	594	203	2054
TIA1_HepG2_7657	20120	594	1271	2054
SRSF1_HepG2_37392	19330	593	1011	2054
UCHL5_HepG2_7192	20120	594	1317	2054
SRSF1_K562_29397	2666	444	72	2054
UCHL5_HepG2_20931	17337	593	323	2054
SRSF1_HepG2_11270	8585	569	135	2054
PTBP1_K562_50698	4892	536	311	2054
PTBP1_K562_55598	19193	594	568	2054
QKI_HepG2_52476	9641	561	404	2054
PTBP1_K562_68963	19488	594	1001	2054
TIA1_HepG2_28332	17932	594	848	2054
HNRNPM_K562_20185	18568	590	384	2054
RBM15_K562_43316	19681	594	379	2054
RBM15_K562_47930	18019	591	361	2054
SRSF1_K562_36483	10000	568	361	2054
HNRNPK_HepG2_52609	19638	594	787	2054
FXR1_K562_6668	11190	330	403	2054
QKI_HepG2_8009	5647	441	207	2054
UCHL5_HepG2_39011	11262	561	842	2054
RBM15_K562_55962	5999	341	95	2054
SRSF1_HepG2_8397	19888	593	459	2054
HNRNPL_K562_19101	19635	593	1012	2054
RBFOX2_HepG2_7616	19185	594	513	2054
RBFOX2_HepG2_346	15843	583	310	2054
RBM15_K562_76585	19429	594	645	2054
TIA1_HepG2_16672	16657	592	154	2054
HNRNPU_K562_62032	20027	594	760	2054
AKAP8L_K562_75465	6571	540	126	2054
SRSF1_HepG2_28622	20088	594	1038	2054
RBFOX2_HepG2_7563	19568	593	646	2054
QKI_HepG2_25090	19804	594	843	2054
RBM15_K562_60529	19939	594	971	2054
SRSF1_K562_55458	19966	594	667	2054
PTBP1_K562_17588	20010	594	1123	2054
HNRNPU_K562_2280	19926	594	626	2054
PTBP1_K562_26387	2555	316	81	2054
UCHL5_HepG2_35380	20121	594	1168	2054
FXR1_K562_61020	20100	594	827	2054
PTBP1_HepG2_34082	7087	270	368	2054
SRSF9_HepG2_31771	15603	591	279	2054
UCHL5_HepG2_56207	19429	594	761	2054
RBM15_K562_72850	18471	594	95	2054
RBM15_K562_45942	14043	576	151	2054
SRSF1_HepG2_23171	13770	584	724	2054
HNRNPM_HepG2_12646	15844	581	606	2054
RBM15_K562_48205	6754	321	266	2054
TIA1_HepG2_30000	15838	590	256	2054
SRSF1_HepG2_18877	15707	592	388	2054
SRSF1_K562_21181	19880	594	457	2054
AKAP8L_K562_22255	20112	594	536	2054
SRSF1_HepG2_38964	16822	578	572	2054
PTBP1_HepG2_14223	12497	577	604	2054
SRSF1_HepG2_67534	1774	269	4	2054
FXR1_K562_18395	19980	594	472	2054
RBM15_K562_69843	19512	594	172	2054
SRSF1_HepG2_41215	16354	594	407	2054
RBM15_K562_20818	19362	593	291	2054
AKAP8L_K562_24002	19850	594	146	2054
SRSF1_HepG2_38828	19799	594	457	2054
RBM15_K562_74147	17825	588	304	2054
HNRNPL_HepG2_16540	19635	593	1068	2054
RBFOX2_K562_7910	11890	588	549	2054
RBM15_K562_57031	19990	594	461	2054
HNRNPK_HepG2_31432	18464	591	722	2054
RBM15_K562_74862	17186	591	106	2054
QKI_HepG2_45873	19081	593	685	2054
AKAP8L_K562_72456	14123	591	310	2054
RBFOX2_HepG2_851	14260	576	235	2054
FXR1_K562_6193	20114	594	744	2054
RBM15_K562_2952	11151	290	58	2054
QKI_HepG2_34858	9153	566	443	2054
HNRNPM_HepG2_53294	18228	594	501	2054
SRSF1_HepG2_58271	16252	592	530	2054
HNRNPU_K562_62025	19966	594	724	2054
RBFOX2_HepG2_37744	7935	531	256	2054
SRSF1_K562_33164	19949	594	326	2054
RBM15_K562_1152	14802	589	290	2054
SRSF1_HepG2_59293	18771	594	375	2054
RBFOX2_HepG2_46826	19976	594	760	2054
SRSF9_HepG2_12741	20082	594	741	2054
AKAP8L_K562_46802	19121	590	281	2054
FXR1_K562_18985	18948	591	504	2054
SRSF1_HepG2_2027	20018	594	652	2054
HNRNPU_K562_50731	6010	519	53	2054
SRSF1_K562_17693	19314	594	215	2054
SRSF1_K562_63316	20110	594	1078	2054
KHSRP_K562_55454	19727	594	595	2054
SRSF1_K562_3204	19826	594	834	2054
KHSRP_K562_21637	20084	594	1230	2054
SRSF1_HepG2_41253	631	209	36	2054
RBFOX2_HepG2_21705	14938	582	636	2054
UCHL5_K562_43458	19699	594	947	2054
HNRNPK_HepG2_36593	3451	342	174	2054
SRSF1_K562_16880	20014	594	446	2054
RBM15_K562_30898	4211	444	162	2054
HNRNPL_K562_192	19887	594	1081	2054
SRSF1_HepG2_56202	19638	594	723	2054
SRSF1_K562_66514	19797	593	725	2054
PTBP1_HepG2_39053	19538	593	527	2054
SRSF9_HepG2_27730	20120	594	847	2054
HNRNPL_K562_68054	316	145	15	2054
HNRNPK_HepG2_45122	8905	567	338	2054
SRSF1_HepG2_66518	20121	594	339	2054
SRSF1_K562_20303	20092	594	251	2054
HNRNPU_K562_22912	18412	589	780	2054
RBM15_K562_633	19948	594	627	2054
SRSF1_HepG2_33592	16581	583	922	2054
SRSF1_HepG2_61820	19760	593	693	2054
PTBP1_K562_33624	16581	583	922	2054
SRSF9_HepG2_4043	20024	594	286	2054
SRSF1_K562_45536	3016	440	51	2054
QKI_K562_19569	19835	594	1003	2054
QKI_HepG2_21068	13268	582	366	2054
RBM15_K562_23185	20092	594	251	2054
RBM15_K562_37635	18754	594	652	2054
QKI_HepG2_19440	19835	594	749	2054
SRSF1_HepG2_54643	3890	429	125	2054
HNRNPU_K562_50146	19648	593	499	2054
SRSF1_HepG2_51115	13937	580	635	2054
SRSF9_HepG2_172	2700	453	1	2054
QKI_HepG2_954	15755	589	686	2054
RBM15_K562_21058	19242	594	453	2054
HNRNPL_K562_50816	6010	519	56	2054
AKAP8L_K562_52817	13374	577	27	2054
SRSF1_HepG2_48162	8905	567	338	2054
SRSF1_K562_45456	20113	594	721	2054
SRSF1_K562_41741	19723	594	216	2054
HNRNPK_HepG2_63320	18905	593	837	2054
SRSF1_K562_8393	19888	593	459	2054
SRSF1_HepG2_17488	20010	594	1416	2054
SRSF9_HepG2_36622	16354	594	377	2054
SRSF1_HepG2_3235	19826	594	791	2054
RBM15_K562_78476	11323	584	155	2054
HNRNPL_K562_8266	19115	593	997	2054
TIA1_K562_8385	20104	594	954	2054
RBM15_K562_12729	19870	593	189	2054
SRSF1_HepG2_28283	20071	594	479	2054
SRSF1_K562_67015	6571	540	144	2054
HNRNPM_K562_8565	12467	575	464	2054
RBFOX2_K562_43888	19864	594	906	2054
HNRNPU_K562_51136	13608	581	206	2054
SRSF1_HepG2_15283	20111	594	572	2054
RBM22_HepG2_20285	3778	405	65	2054
RBFOX2_HepG2_49065	9099	557	34	2054
UCHL5_HepG2_36472	19612	593	662	2054
SRSF1_K562_1189	4598	512	172	2054
SRSF1_HepG2_45954	2921	432	151	2054
UCHL5_HepG2_21428	5375	437	337	2054
FXR1_K562_46880	18248	592	622	2054
AKAP8L_K562_40276	19997	594	501	2054
SRSF1_K562_38255	19681	594	379	2054
PTBP1_K562_16710	19587	594	995	2054
PTBP1_HepG2_47371	8233	533	272	2054
QKI_K562_21208	13770	584	724	2054
HNRNPL_K562_17592	12497	577	529	2054
QKI_HepG2_13335	3002	375	154	2054
SRSF1_HepG2_40674	6083	475	93	2054
UCHL5_K562_21512	13770	584	651	2054
PTBP1_HepG2_55930	16957	588	615	2054
SRSF1_K562_12556	18247	592	0	2054
QKI_HepG2_4189	14735	585	318	2054
RBM15_K562_38613	19954	594	283	2054
RBM22_HepG2_47389	19841	594	429	2054
HNRNPU_K562_51119	19913	594	690	2054
QKI_HepG2_64226	19768	594	666	2054
QKI_HepG2_21071	13770	584	651	2054
HNRNPU_K562_1385	9693	576	406	2054
SRSF1_HepG2_11710	19291	593	237	2054
UCHL5_K562_33210	18090	592	325	2054
SRSF9_HepG2_29898	18464	591	533	2054
SRSF9_HepG2_5048	20055	593	640	2054
UCHL5_HepG2_46214	19518	594	705	2054
HNRNPK_HepG2_10041	1290	229	96	2054
UCHL5_HepG2_38233	18407	590	890	2054
HNRNPM_HepG2_8362	18982	594	659	2054
TIA1_HepG2_9004	12192	563	787	2054
HNRNPL_HepG2_61931	20110	594	974	2054
AKAP8L_K562_74572	7162	549	4	2054
RBFOX2_HepG2_37877	18407	590	890	2054
SRSF1_HepG2_66585	19995	594	447	2054
AKAP8L_K562_56756	19990	594	497	2054
UCHL5_K562_5828	20114	594	744	2054
SRSF1_HepG2_52605	9445	544	156	2054
SRSF1_K562_54933	19785	594	425	2054
QKI_HepG2_20463	1194	203	61	2054
HNRNPU_K562_20663	19362	593	248	2054
RBM15_K562_57471	17890	588	311	2054
SRSF1_HepG2_10177	12192	563	787	2054
HNRNPL_K562_73496	9564	560	126	2054
RBFOX2_K562_35913	18961	594	764	2054
SRSF1_HepG2_48658	20107	594	736	2054
HNRNPK_HepG2_39023	17913	590	507	2054
SRSF1_HepG2_16854	20014	594	486	2054
QKI_HepG2_42093	2921	432	139	2054
RBM15_K562_68063	16976	586	209	2054
SRSF1_K562_55464	20027	594	760	2054
HNRNPL_K562_39765	18090	592	344	2054
HNRNPL_K562_70862	20110	594	1078	2054
HNRNPU_K562_6667	19182	594	568	2054
HNRNPK_K562_47279	19792	594	496	2054
RBM15_K562_66144	18989	594	167	2054
SRSF1_HepG2_39153	19527	592	134	2054
AKAP8L_K562_57184	17890	588	277	2054
SRSF1_K562_1991	20018	594	652	2054
RBM15_K562_51894	19913	594	655	2054
RBM15_K562_25590	17330	588	354	2054
SRSF9_HepG2_9670	19202	594	768	2054
AKAP8L_K562_9286	19576	592	652	2054
RBFOX2_HepG2_7900	11890	588	596	2054
RBFOX2_HepG2_11841	15844	581	582	2054
RBFOX2_K562_17641	19835	594	1157	2054
SRSF1_K562_38331	19602	594	142	2054
SRSF1_HepG2_1492	19964	594	80	2054
PTBP1_HepG2_30790	10101	577	247	2054
HNRNPU_K562_28933	20029	594	870	2054
RBM15_K562_50254	12801	568	274	2054
RBM15_K562_8313	19697	594	180	2054
FXR1_K562_2071	20005	594	684	2054
SRSF1_HepG2_8877	8010	537	0	2054
SRSF1_HepG2_41216	8026	572	238	2054
AKAP8L_K562_62554	19966	594	724	2054
SRSF9_HepG2_52605	5155	524	222	2054
RBM15_K562_69742	20100	594	926	2054
AKAP8L_K562_4907	19939	594	476	2054
SRSF1_K562_22452	17330	588	354	2054
SRSF1_HepG2_51178	19874	593	613	2054
AKAP8L_K562_74495	18545	592	166	2054
FXR1_K562_35587	19613	594	394	2054
TIA1_HepG2_39328	18385	594	704	2054
HNRNPK_HepG2_34907	2641	381	137	2054
KHSRP_K562_17914	16657	592	238	2054
HNRNPU_K562_77273	11323	584	121	2054
SRSF1_HepG2_3776	18356	593	443	2054
AKAP8L_K562_59155	20040	594	265	2054
RBM22_HepG2_39529	20060	594	455	2054
SRSF1_HepG2_24887	16524	593	228	2054
HNRNPL_HepG2_22763	19960	594	1198	2054
RBFOX2_K562_12944	12497	577	604	2054
RBM22_HepG2_206	3435	488	23	2054
PTBP1_HepG2_34072	2128	359	23	2054
SRSF9_HepG2_35683	15007	594	658	2054
FXR1_K562_50350	17890	588	311	2054
AKAP8L_K562_75724	3943	326	160	2054
RBM15_K562_29291	19673	594	287	2054
RBFOX2_K562_2290	13189	583	660	2054
HNRNPK_HepG2_15931	19069	594	296	2054
SRSF1_HepG2_67685	2360	346	54	2054
SRSF1_K562_9533	19971	594	224	2054
RBM15_K562_70306	15090	587	283	2054
HNRNPK_HepG2_15854	19635	593	957	2054
QKI_K562_46011	19081	593	821	2054
FXR1_K562_61589	18712	593	153	2054
HNRNPU_K562_71762	20028	594	409	2054
AKAP8L_K562_69442	19512	594	172	2054
SRSF1_K562_23102	18787	593	510	2054
SRSF1_HepG2_40122	15007	594	658	2054
PTBP1_K562_63073	20106	594	911	2054
PTBP1_HepG2_28171	19741	594	1083	2054
AKAP8L_K562_68749	18045	588	256	2054
RBM15_K562_65807	16252	592	489	2054
SRSF1_K562_31844	19735	594	252	2054
SRSF1_HepG2_22900	20084	594	1176	2054
RBM15_K562_12089	8688	554	79	2054
QKI_HepG2_20464	986	182	72	2054
SRSF1_HepG2_26793	903	260	48	2054
SRSF1_HepG2_45747	19208	592	551	2054
FXR1_K562_29047	20059	594	569	2054
RBFOX2_HepG2_42008	13627	580	290	2054
SRSF9_HepG2_2846	19826	594	891	2054
HNRNPK_K562_17678	19362	593	273	2054
SRSF1_HepG2_8754	20055	594	207	2054
RBFOX2_HepG2_12823	12497	577	639	2054
RBM15_K562_44667	18783	593	243	2054
RBM15_K562_17777	2215	365	66	2054
SRSF1_K562_4070	19097	592	426	2054
SRSF1_HepG2_44830	19900	594	428	2054
HNRNPU_K562_52784	18248	592	505	2054
FXR1_K562_43400	18295	593	218	2054
HNRNPK_HepG2_31436	16581	583	880	2054
SRSF1_K562_53351	19939	594	702	2054
FXR1_K562_68888	11323	584	132	2054
PTBP1_HepG2_4364	2310	326	130	2054
HNRNPL_K562_40501	19918	594	1109	2054
SRSF1_HepG2_4817	2310	326	133	2054
RBM15_K562_75324	19797	593	725	2054
SRSF1_HepG2_3215	18944	593	809	2054
AKAP8L_K562_42758	19926	594	486	2054
SRSF1_K562_22667	20084	594	1083	2054
SRSF1_K562_47457	12996	584	118	2054
HNRNPK_HepG2_52611	19857	594	629	2054
HNRNPL_K562_71466	11091	561	471	2054
TIA1_HepG2_9685	18461	593	788	2054
HNRNPU_K562_1386	8637	574	396	2054
RBFOX2_HepG2_17490	19835	594	1003	2054
SRSF1_HepG2_50223	19428	594	1065	2054
RBM22_HepG2_43642	20121	594	1102	2054
RBFOX2_HepG2_22356	19341	594	1028	2054
TIA1_HepG2_37426	9814	556	369	2054
QKI_K562_4127	14735	585	271	2054
RBM15_K562_32265	20088	594	951	2054
SRSF1_HepG2_51881	1983	281	83	2054
RBFOX2_K562_47229	19976	594	809	2054
PTBP1_K562_45556	3016	440	48	2054
SRSF1_HepG2_68413	18756	590	216	2054
SRSF1_K562_12067	16829	588	700	2054
HNRNPL_K562_23321	19894	594	695	2054
SRSF9_HepG2_44679	19428	594	764	2054
